split,forecast_hour,station_code,issue_rows,valid_targets,cams_rows,valid_target_pct,cams_coverage_pct
test,24,MEDAN2,243,237,243,97.53086419753086,100.0
test,24,MLATI,243,240,243,98.76543209876543,100.0
test,24,PALANGKARAYA2,243,225,243,92.5925925925926,100.0
test,24,PALEMBANG3,243,235,243,96.70781893004116,100.0
test,24,PALEMBANG4,243,240,243,98.76543209876543,100.0
test,24,PALU,243,76,243,31.275720164609055,100.0
test,24,PANGKALANBUN2,243,231,243,95.06172839506173,100.0
test,24,PEKANBARU2,243,235,243,96.70781893004116,100.0
test,24,PESAWARAN,243,219,243,90.12345679012346,100.0
test,24,PONTIANAK2,243,234,243,96.29629629629629,100.0
test,24,SAMARINDA2,243,230,243,94.65020576131687,100.0
test,24,SEMARANG,243,240,243,98.76543209876543,100.0
test,24,SINTANG,243,199,243,81.89300411522633,100.0
test,24,SORONG,243,236,243,97.11934156378601,100.0
test,24,SUPADIO,243,238,243,97.94238683127573,100.0
test,24,TANJUNGHARAPAN2,243,199,243,81.89300411522633,100.0
test,48,BANJARBARU2,243,241,243,99.17695473251028,100.0
test,48,BATAM2,243,231,243,95.06172839506173,100.0
test,48,BENGKULU,243,231,243,95.06172839506173,100.0
test,48,INDRAPURI2,243,228,243,93.82716049382717,100.0
test,48,JAMBI3,243,238,243,97.94238683127573,100.0
test,48,JAMBI4,243,231,243,95.06172839506173,100.0
test,48,KEMAYORAN3,243,241,243,99.17695473251028,100.0
test,48,KOTABARU,243,233,243,95.88477366255144,100.0
test,48,KOTOTABANG2,243,222,243,91.35802469135803,100.0
test,48,MALANG,243,235,243,96.70781893004116,100.0
test,48,MAROS,243,239,243,98.35390946502058,100.0
test,48,MEDAN2,243,237,243,97.53086419753086,100.0
test,48,MLATI,243,240,243,98.76543209876543,100.0
test,48,PALANGKARAYA2,243,225,243,92.5925925925926,100.0
test,48,PALEMBANG3,243,235,243,96.70781893004116,100.0
test,48,PALEMBANG4,243,240,243,98.76543209876543,100.0
test,48,PALU,243,76,243,31.275720164609055,100.0
test,48,PANGKALANBUN2,243,231,243,95.06172839506173,100.0
test,48,PEKANBARU2,243,235,243,96.70781893004116,100.0
test,48,PESAWARAN,243,219,243,90.12345679012346,100.0
test,48,PONTIANAK2,243,234,243,96.29629629629629,100.0
test,48,SAMARINDA2,243,230,243,94.65020576131687,100.0
test,48,SEMARANG,243,240,243,98.76543209876543,100.0
test,48,SINTANG,243,199,243,81.89300411522633,100.0
test,48,SORONG,243,236,243,97.11934156378601,100.0
test,48,SUPADIO,243,238,243,97.94238683127573,100.0
test,48,TANJUNGHARAPAN2,243,199,243,81.89300411522633,100.0
test,72,BANJARBARU2,243,241,243,99.17695473251028,100.0
test,72,BATAM2,243,231,243,95.06172839506173,100.0
test,72,BENGKULU,243,231,243,95.06172839506173,100.0
test,72,INDRAPURI2,243,228,243,93.82716049382717,100.0
test,72,JAMBI3,243,238,243,97.94238683127573,100.0
test,72,JAMBI4,243,231,243,95.06172839506173,100.0
test,72,KEMAYORAN3,243,241,243,99.17695473251028,100.0
test,72,KOTABARU,243,233,243,95.88477366255144,100.0
test,72,KOTOTABANG2,243,222,243,91.35802469135803,100.0
test,72,MALANG,243,235,243,96.70781893004116,100.0
test,72,MAROS,243,239,243,98.35390946502058,100.0
test,72,MEDAN2,243,237,243,97.53086419753086,100.0
test,72,MLATI,243,240,243,98.76543209876543,100.0
test,72,PALANGKARAYA2,243,225,243,92.5925925925926,100.0
test,72,PALEMBANG3,243,235,243,96.70781893004116,100.0
test,72,PALEMBANG4,243,240,243,98.76543209876543,100.0
test,72,PALU,243,76,243,31.275720164609055,100.0
test,72,PANGKALANBUN2,243,231,243,95.06172839506173,100.0
test,72,PEKANBARU2,243,235,243,96.70781893004116,100.0
test,72,PESAWARAN,243,219,243,90.12345679012346,100.0
test,72,PONTIANAK2,243,234,243,96.29629629629629,100.0
test,72,SAMARINDA2,243,230,243,94.65020576131687,100.0
test,72,SEMARANG,243,240,243,98.76543209876543,100.0
test,72,SINTANG,243,199,243,81.89300411522633,100.0
test,72,SORONG,243,236,243,97.11934156378601,100.0
test,72,SUPADIO,243,238,243,97.94238683127573,100.0
test,72,TANJUNGHARAPAN2,243,199,243,81.89300411522633,100.0
