forecast_hour,validation_raw_crossing_pct,conformal_correction_ug_m3,quantile_tuning_rows,conformal_calibration_rows,quantile_tuning_target_start_utc,quantile_tuning_target_end_utc,conformal_calibration_target_start_utc,conformal_calibration_target_end_utc
3,0.0,0.5910782695353998,4360,4383,2025-01-01T00:00:00Z,2025-06-30T23:00:00Z,2025-07-01T00:00:00Z,2025-12-31T23:00:00Z
6,0.0,0.5131996927247258,4304,4327,2025-01-01T00:00:00Z,2025-06-30T23:00:00Z,2025-07-01T00:00:00Z,2025-12-31T23:00:00Z
12,0.0,1.0622454662784833,4473,4444,2025-01-01T00:00:00Z,2025-06-30T23:00:00Z,2025-07-01T00:00:00Z,2025-12-31T23:00:00Z
24,0.0,0.312274730849851,4447,4395,2025-01-01T00:00:00Z,2025-06-30T23:00:00Z,2025-07-01T00:00:00Z,2025-12-31T23:00:00Z
48,0.0,0.24365401178052792,4447,4396,2025-01-01T00:00:00Z,2025-06-30T23:00:00Z,2025-07-01T00:00:00Z,2025-12-31T23:00:00Z
72,0.0,0.4036257376000636,4447,4395,2025-01-01T00:00:00Z,2025-06-30T23:00:00Z,2025-07-01T00:00:00Z,2025-12-31T23:00:00Z
