comparison_type,station_code,latitude,longitude,issue_time_utc,forecast_hour,direct_ads_pm25_ug_m3,earth_engine_pm25_ug_m3,absolute_difference_ug_m3,relative_absolute_difference_pct,earth_engine_source_image_id
native_grid,BANJARBARU2,-3.6000000000000005,114.80000000000028,2026-01-01T00:00:00+00:00,6,3.811340132386931,3.811337911940882,2.220446049250313e-06,5.8258931822485035e-05,20260101T00F006
native_grid,BANJARBARU2,-3.6000000000000005,114.80000000000028,2026-01-01T00:00:00+00:00,12,11.619696316245154,11.619701645315672,5.329070518200751e-06,4.586239066119427e-05,20260101T00F012
native_grid,BANJARBARU2,-3.6000000000000005,114.80000000000028,2026-01-01T00:00:00+00:00,24,14.372249168559392,14.372242951310454,6.217248937900877e-06,4.325870547458693e-05,20260101T00F024
native_grid,BANJARBARU2,-3.6000000000000005,114.80000000000028,2026-01-01T00:00:00+00:00,48,7.809807911485223,7.809820345983098,1.2434497875801753e-05,0.0001592164367770863,20260101T00F048
native_grid,BANJARBARU2,-3.6000000000000005,114.80000000000028,2026-01-01T00:00:00+00:00,72,17.025660881131444,17.025650222990407,1.0658141036401503e-05,6.260045416629498e-05,20260101T00F072
native_grid,BATAM2,1.1999999999999993,104.00000000000013,2026-01-01T00:00:00+00:00,6,22.203352045835345,22.203352045835345,0.0,0.0,20260101T00F006
native_grid,BATAM2,1.1999999999999993,104.00000000000013,2026-01-01T00:00:00+00:00,12,16.86267836475963,16.86268191747331,3.552713678800501e-06,2.1068501705073843e-05,20260101T00F012
native_grid,BATAM2,1.1999999999999993,104.00000000000013,2026-01-01T00:00:00+00:00,24,14.838066775268999,14.838074768874776,7.993605777301127e-06,5.387228604890957e-05,20260101T00F024
native_grid,BATAM2,1.1999999999999993,104.00000000000013,2026-01-01T00:00:00+00:00,48,12.480077415943924,12.480075639587085,1.7763568394002505e-06,1.4233540227329565e-05,20260101T00F048
native_grid,BATAM2,1.1999999999999993,104.00000000000013,2026-01-01T00:00:00+00:00,72,11.797757437648215,11.797760102183474,2.6645352591003757e-06,2.258509952575808e-05,20260101T00F072
