n,mae_ug_m3,rmse_ug_m3,bias_ug_m3,correlation,r2,forecast_hour,station_code,persistence_mae_ug_m3,skill_vs_persistence_pct
241,5.359911007555987,8.144891590725194,1.0849020659654471,0.4459745460073609,-0.2119531676897084,3,BANJARBARU2,21.747302904564314,75.35367474726694
235,4.534023582774579,7.574444373082358,-0.629418945845854,0.5081160594254897,0.2447765071622109,3,BATAM2,5.75,21.147415951746453
228,7.604997738307995,9.679699713326695,2.0615469357152416,0.7791744638851357,0.5856959189731703,3,BENGKULU,19.628761061946904,61.25584434846809
235,3.100435457534673,4.457895547420818,-0.7668212854585345,0.7233773286598739,0.5081607412938385,3,INDRAPURI2,3.2838565022421524,5.585537753621184
239,7.839034593705187,14.490326031363725,-2.5906513593919747,0.6561718946570922,0.41094339558390147,3,JAMBI3,12.625423728813557,37.910720764048044
232,5.611285252752125,9.418035737579817,0.33083236470429933,0.8398499058725667,0.694780538418619,3,JAMBI4,10.346428571428572,45.76596925196428
240,8.399858843400265,11.109053445362552,-1.2372021848137311,0.8179336371949235,0.6639091945791952,3,KEMAYORAN3,13.910460251046024,39.61480287635615
216,2.827055818506063,3.575584006239645,1.7741512422350183,0.7866109868916478,0.3744153247272278,3,KOTABARU,5.921327014218009,52.25638084642393
219,3.6801236435052957,6.475387603246241,-1.3853403461495488,0.6616432002393194,0.4041178012419204,3,KOTOTABANG2,4.116425120772948,10.599038351649327
231,7.71668781058718,10.748549235485266,-1.8522300850211437,0.7091058747006866,0.47828714678619744,3,MALANG,8.734649122807017,11.654289690490726
238,3.655065047548288,4.577212691881021,0.5840657395393987,0.5899080542691232,0.1671592597700513,3,MAROS,8.389915966386555,56.43502196932631
235,10.577000958059962,14.39259071845352,-2.9521546151153153,0.49251745140048653,0.1975093215241258,3,MEDAN2,16.317948717948717,35.18179802571676
239,8.572424452350528,13.525564170730656,-2.8533171178272516,0.6950473867147607,0.40958718459290877,3,MLATI,19.286919831223628,55.553170089541126
215,18.401206753191204,64.85271578546676,-14.279048811493254,0.7732544636177003,0.24204087207979263,3,PALANGKARAYA2,19.681904761904757,6.5069820436912345
233,7.609473530793985,11.001603177386553,-0.42145539359726714,0.7023462541435045,0.44506417581191104,3,PALEMBANG3,15.500873362445414,50.90938843981681
239,6.342220282691181,9.35591089883256,2.973151073353354,0.8292298228850408,0.5279252954296783,3,PALEMBANG4,16.26440677966102,61.0055234807441
76,2.6591400084267205,3.2369764110672783,-0.1964991046041757,0.876552859230515,0.7612731748206012,3,PALU,3.572368421052631,25.563668272401184
233,3.6214093469644366,5.491699732534773,1.0286136584764434,0.6945219377455791,0.413535907693364,3,PANGKALANBUN2,10.352678571428571,65.019590611469
237,8.452634175991312,12.473553459971255,-1.6106091176480772,0.6931395167110098,0.43665334124239563,3,PEKANBARU2,12.838095238095235,34.15974862914778
221,7.995955009790448,12.102826472453716,-0.3497331477323601,0.7632875522910156,0.5815866464251167,3,PESAWARAN,12.82283105022831,37.64282646734177
230,18.195026811600385,57.72355274526594,-11.763363497896812,0.7420267089306337,0.34166993403909673,3,PONTIANAK2,27.80528634361234,34.562706577627836
228,3.744263592933111,5.933590376160734,-1.0930110640227508,0.5756178956733082,0.28924943291394123,3,SAMARINDA2,4.4963800904977385,16.727155676942996
238,7.296475926369412,9.65534268769584,1.4774471601657786,0.7091670647059793,0.48954827636268383,3,SEMARANG,11.330084745762711,35.60087068988439
211,10.83045459659971,39.4547660602268,-7.643795514238668,0.7952124174365098,0.4692009162729406,3,SINTANG,15.008839779005525,27.839494883878835
226,2.4781509348207402,4.1296490062674955,0.1165263790057989,0.8220913554266469,0.6750834672276779,3,SORONG,3.355605381165919,26.148916415204447
239,29.229661830798673,88.9143236070569,-17.445315258629183,0.6559476329303662,0.24472769204640288,3,SUPADIO,34.50294117647059,15.28356472192015
196,3.822073067950585,6.246754605890995,-0.6656615308654545,0.8693803297723682,0.745706161921518,3,TANJUNGHARAPAN2,3.7989743589743585,-0.6080248718094206
242,4.544843611458779,7.526184951585784,0.5822088972000651,0.6043621345462602,0.32788302517001555,6,BANJARBARU2,23.392916666666668,80.57171033343235
234,4.490502931842063,11.360044017475023,-2.0091225015771887,0.28229793689688387,0.03601936719164578,6,BATAM2,5.816371681415929,22.79546119465148
194,6.988288454609299,8.410435083124108,4.685748273324866,0.8388029489304687,0.5579886444369804,6,BENGKULU,25.06157894736842,72.11553003390036
