n,mae_ug_m3,rmse_ug_m3,bias_ug_m3,correlation,r2,split,forecast_hour,model,scope,skill_vs_persistence_pct,n_stations,training_window
5918,12.644099587174205,22.744871079403246,5.705796125923374,0.6235958400849634,-2.8469414647610303,test,3,persistence,station_balanced_common_cases,0.0,27.0,2024_only
5918,7.852997015942784,17.15490169541744,-2.873131191166308,0.7156823250816258,0.4549329492189686,test,3,recent_window,station_balanced_common_cases,34.714491001587504,27.0,2024_only
5753,14.18302400701949,25.110063245111338,9.450613807426526,0.5538593990077316,-2.649679995745364,test,6,persistence,station_balanced_common_cases,0.0,27.0,2024_only
5753,6.632987792096052,14.490900933892108,-1.524855062413727,0.6920364856336095,0.4263112134087944,test,6,recent_window,station_balanced_common_cases,45.810154107482724,27.0,2024_only
5897,16.69462881080163,28.004166735668722,-1.1197661486482384,0.4263015555796451,-2.362085858978979,test,12,persistence,station_balanced_common_cases,0.0,27.0,2024_only
5897,10.99135311502016,17.708567884384017,-2.5568239682989486,0.5431944480044111,0.2577221795670282,test,12,recent_window,station_balanced_common_cases,30.267237401871917,27.0,2024_only
5859,13.111779367149609,22.513414161337998,-0.3200693524876517,0.5460970054065087,0.07638972556697732,test,24,persistence,station_balanced_common_cases,0.0,27.0,2024_only
5859,11.278403520056091,20.726787042217747,-3.805967441478347,0.6521123832869966,0.3430947306663661,test,24,recent_window,station_balanced_common_cases,14.939293674306898,27.0,2024_only
5839,13.897520648066632,23.61936610535634,-0.6684016170359135,0.4789813129822376,-0.02160502206699635,test,48,persistence,station_balanced_common_cases,0.0,27.0,2024_only
5839,12.014612442939484,22.156950835225228,-4.477151024971324,0.5888664397910593,0.25328233703789094,test,48,recent_window,station_balanced_common_cases,14.666256395902353,27.0,2024_only
5832,14.675242563309327,24.41294708856572,-1.1421639499935263,0.43088466083910054,-0.0958573728669907,test,72,persistence,station_balanced_common_cases,0.0,27.0,2024_only
5832,12.389901016993182,22.699398214558435,-4.809544191050391,0.5566255590963398,0.21224415985597034,test,72,recent_window,station_balanced_common_cases,16.67797538214397,27.0,2024_only
5918,7.615649893748421,16.48450820604208,-2.3640677778786263,0.7265153404704549,0.4693717106820743,test,3,champion,station_balanced_common_cases,36.485111835138305,27.0,2023_2024_frozen_champion
5918,12.644099587174205,22.744871079403246,5.705796125923374,0.6235958400849634,-2.8469414647610303,test,3,persistence,station_balanced_common_cases,0.0,27.0,2023_2024_frozen_champion
5753,6.290049028026275,13.438005173045623,-1.5765513983920296,0.7164659271054573,0.47653705449324274,test,6,champion,station_balanced_common_cases,47.97117514509442,27.0,2023_2024_frozen_champion
5753,14.18302400701949,25.110063245111338,9.450613807426526,0.5538593990077316,-2.649679995745364,test,6,persistence,station_balanced_common_cases,0.0,27.0,2023_2024_frozen_champion
5897,10.50459749727528,16.61579324213311,-2.2280629450552065,0.5814099405740324,0.3166651048904899,test,12,champion,station_balanced_common_cases,32.90140646340634,27.0,2023_2024_frozen_champion
5897,16.69462881080163,28.004166735668722,-1.1197661486482384,0.4263015555796451,-2.362085858978979,test,12,persistence,station_balanced_common_cases,0.0,27.0,2023_2024_frozen_champion
5859,10.836498730411595,19.554584747277477,-3.430218498993646,0.6580157071514964,0.383234048496715,test,24,champion,station_balanced_common_cases,17.553119606104982,27.0,2023_2024_frozen_champion
5859,13.111779367149609,22.513414161337998,-0.3200693524876517,0.5460970054065087,0.07638972556697732,test,24,persistence,station_balanced_common_cases,0.0,27.0,2023_2024_frozen_champion
5839,11.664917071479003,21.385322950288373,-4.405111204261444,0.5948683687366936,0.29200430704499614,test,48,champion,station_balanced_common_cases,16.925139620597268,27.0,2023_2024_frozen_champion
5839,13.897520648066632,23.61936610535634,-0.6684016170359135,0.4789813129822376,-0.02160502206699635,test,48,persistence,station_balanced_common_cases,0.0,27.0,2023_2024_frozen_champion
5832,12.031415688015565,21.82958706032891,-4.450508385561913,0.5694271100276642,0.26337886089005985,test,72,champion,station_balanced_common_cases,19.206819741104955,27.0,2023_2024_frozen_champion
5832,14.675242563309327,24.41294708856572,-1.1421639499935263,0.43088466083910054,-0.0958573728669907,test,72,persistence,station_balanced_common_cases,0.0,27.0,2023_2024_frozen_champion
