n,mae_ug_m3,rmse_ug_m3,bias_ug_m3,correlation,r2,split,forecast_hour,model,scope,skill_vs_persistence_pct,n_stations
5897,11.013612281662473,20.20977839341089,-2.870003389617335,0.7127688285601999,0.4781456231086674,test,12,obs_lgbm,pooled_common_cases,35.76331458905231,
5897,10.793979128577263,19.83669773309078,-2.303797277014339,0.7223458046397163,0.497235066738947,test,12,cams_lgbm,pooled_common_cases,37.04432080206742,
5897,10.84506706348896,19.63206191449187,-1.5529039597943897,0.7247509975682404,0.5075546309838918,test,12,cams_xgboost,pooled_common_cases,36.746351387556466,
5897,10.793979128577263,19.83669773309078,-2.303797277014339,0.7223458046397163,0.497235066738947,test,12,champion,pooled_common_cases,37.04432080206742,
5897,10.783875382176872,19.830454365914907,-2.2991551960526837,0.7221303392740571,0.497551495627521,test,12,prediction_q50,pooled_common_cases,37.10325071192766,
5859,13.434135518006487,27.96030553807588,-0.300358422939068,0.6706997307592484,0.3548990918351237,test,24,persistence,pooled_common_cases,0.0,
5859,13.95132275132275,33.48094062881147,-6.531490015360983,0.33719670384823175,0.07500554556577188,test,24,climatology,pooled_common_cases,-3.8497991376002405,
5859,18.025754838063254,32.58599156740961,-3.1847131843976473,0.4724249806989913,0.12379503634183231,test,24,raw_cams,pooled_common_cases,-34.17874796560132,
5859,11.169710113041345,24.963295294890468,-3.8213272253275683,0.7285775787454903,0.4857815490666597,test,24,obs_lgbm,pooled_common_cases,16.855758243096563,
5859,11.124281882550617,25.85726862675009,-3.549370283941677,0.710309514621844,0.4482922024932985,test,24,cams_lgbm,pooled_common_cases,17.19391346290835,
5859,11.165860998266325,25.824065789327094,-3.2162635357963043,0.7113335884535418,0.44970816823188664,test,24,cams_xgboost,pooled_common_cases,16.884409991992953,
5859,11.124281882550617,25.85726862675009,-3.549370283941677,0.710309514621844,0.4482922024932985,test,24,champion,pooled_common_cases,17.19391346290835,
5859,10.991597007835562,24.635989955726966,-2.887399196476627,0.7304459076078978,0.4991774625945933,test,24,prediction_q50,pooled_common_cases,18.18158307914238,
5839,14.330090768967288,29.181240586927693,-0.6485014557287205,0.640794617665259,0.3118547888790719,test,48,persistence,pooled_common_cases,0.0,
5839,14.024644630929952,33.89062493981839,-6.630981332419935,0.3330131081043817,0.0718209876776994,test,48,climatology,pooled_common_cases,2.131501767586841,
5839,18.64507015687426,34.206950253350996,-3.612498850199658,0.4262475345099232,0.05441341629983465,test,48,raw_cams,pooled_common_cases,-30.111319303373385,
5839,12.088073661378967,28.6306242754601,-5.132361124162369,0.6374442582297517,0.3375787971871155,test,48,obs_lgbm,pooled_common_cases,15.64551923455747,
5839,11.977949919247093,28.664625332398987,-4.536802330625902,0.6287944685117506,0.33600451122513775,test,48,cams_lgbm,pooled_common_cases,16.41399826171307,
5839,11.982877263224152,28.359703056837187,-3.9391521283995923,0.6391303864733487,0.35005598640894964,test,48,cams_xgboost,pooled_common_cases,16.379613664598512,
5839,11.977949919247093,28.664625332398987,-4.536802330625902,0.6287944685117506,0.33600451122513775,test,48,champion,pooled_common_cases,16.41399826171307,
5839,11.94562522920106,28.474686792395435,-4.325556403435651,0.632114863494721,0.34477493730946474,test,48,prediction_q50,pooled_common_cases,16.63957038520606,
5832,15.105006858710562,30.121385541522073,-1.105761316872428,0.5984811560745409,0.2645998348737717,test,72,persistence,pooled_common_cases,0.0,
