model,forecast_hour,feature,gain_or_split_importance,normalized_importance_pct
cams_lgbm,3,station_code_SEMARANG,10.0,0.07680491551459294
cams_lgbm,3,station_code_SINTANG,20.0,0.15360983102918588
cams_lgbm,3,station_code_SORONG,0.0,0.0
cams_lgbm,3,station_code_SUPADIO,13.0,0.09984639016897082
cams_lgbm,3,station_code_TANJUNGHARAPAN2,0.0,0.0
cams_lgbm,3,station_code_nan,0.0,0.0
cams_lgbm,3,region_Java,0.0,0.0
cams_lgbm,3,region_Kalimantan,52.0,0.39938556067588327
cams_lgbm,3,region_Papua,0.0,0.0
cams_lgbm,3,region_Sulawesi,0.0,0.0
cams_lgbm,3,region_Sumatra,11.0,0.08448540706605223
cams_lgbm,3,region_nan,0.0,0.0
cams_lgbm,3,timezone_WIB,0.0,0.0
cams_lgbm,3,timezone_WIT,0.0,0.0
cams_lgbm,3,timezone_WITA,3.0,0.02304147465437788
cams_lgbm,3,timezone_nan,0.0,0.0
cams_lgbm,6,pm25_lag_0h,385.0,2.8882220555138787
cams_lgbm,6,pm25_lag_1h,212.0,1.59039759939985
cams_lgbm,6,pm25_lag_2h,226.0,1.695423855963991
cams_lgbm,6,pm25_lag_3h,214.0,1.6054013503375844
cams_lgbm,6,pm25_lag_6h,253.0,1.8979744936234058
cams_lgbm,6,pm25_lag_12h,403.0,3.0232558139534884
cams_lgbm,6,pm25_lag_24h,386.0,2.895723930982746
cams_lgbm,6,pm25_lag_48h,288.0,2.1605401350337585
cams_lgbm,6,pm25_lag_72h,323.0,2.423105776444111
cams_lgbm,6,pm25_lag_168h,408.0,3.0607651912978247
cams_lgbm,6,rh_lag_0h,118.0,0.8852213053263316
cams_lgbm,6,temperature_lag_0h,183.0,1.3728432108027007
cams_lgbm,6,rh_lag_1h,119.0,0.8927231807951987
cams_lgbm,6,temperature_lag_1h,156.0,1.1702925731432858
cams_lgbm,6,rh_lag_3h,109.0,0.8177044261065266
cams_lgbm,6,temperature_lag_3h,146.0,1.0952738184546136
cams_lgbm,6,rh_lag_6h,113.0,0.8477119279819955
cams_lgbm,6,temperature_lag_6h,157.0,1.177794448612153
cams_lgbm,6,rh_lag_12h,221.0,1.657914478619655
cams_lgbm,6,temperature_lag_12h,279.0,2.0930232558139537
cams_lgbm,6,rh_lag_24h,189.0,1.417854463615904
cams_lgbm,6,temperature_lag_24h,313.0,2.348087021755439
cams_lgbm,6,pm25_mean_3h,159.0,1.1927981995498875
cams_lgbm,6,pm25_std_3h,279.0,2.0930232558139537
cams_lgbm,6,pm25_max_3h,134.0,1.005251312828207
cams_lgbm,6,pm25_available_fraction_3h,1.0,0.007501875468867217
cams_lgbm,6,pm25_mean_6h,135.0,1.0127531882970742
cams_lgbm,6,pm25_std_6h,257.0,1.9279819954988746
cams_lgbm,6,pm25_max_6h,116.0,0.8702175543885972
cams_lgbm,6,pm25_available_fraction_6h,4.0,0.030007501875468866
cams_lgbm,6,pm25_mean_12h,117.0,0.8777194298574643
cams_lgbm,6,pm25_std_12h,281.0,2.108027006751688
cams_lgbm,6,pm25_max_12h,123.0,0.9227306826706677
