forecast_hour,event_scope,model,station_code,n,mae_ug_m3,persistence_mae_ug_m3,frozen_mae_ug_m3
12,all_common_cases,persistence_10utc,BANJARBARU2,238,7.928571428571429,7.928571428571429,6.680079130598013
12,all_common_cases,persistence_10utc,BATAM2,226,5.768141592920354,5.768141592920354,5.439067850999072
12,all_common_cases,persistence_10utc,BENGKULU,205,16.59073170731707,16.59073170731707,13.760696756563311
12,all_common_cases,persistence_10utc,INDRAPURI2,215,5.657209302325581,5.657209302325581,4.884883552290304
12,all_common_cases,persistence_10utc,JAMBI3,235,22.435744680851062,22.435744680851062,17.240675106642037
12,all_common_cases,persistence_10utc,JAMBI4,221,25.595022624434385,25.595022624434385,20.32479179428241
12,all_common_cases,persistence_10utc,KEMAYORAN3,237,6.79451476793249,6.79451476793249,8.66292287031731
12,all_common_cases,persistence_10utc,KOTABARU,203,5.243349753694582,5.243349753694582,4.375289528747661
12,all_common_cases,persistence_10utc,KOTOTABANG2,189,4.037566137566138,4.037566137566138,4.019327258645062
12,all_common_cases,persistence_10utc,MALANG,223,9.298654708520179,9.298654708520179,9.072276301013273
12,all_common_cases,persistence_10utc,MAROS,234,11.643589743589745,11.643589743589745,8.349554092922004
12,all_common_cases,persistence_10utc,MEDAN2,234,25.294017094017097,25.294017094017097,15.68014863421122
12,all_common_cases,persistence_10utc,MLATI,238,15.363865546218488,15.363865546218488,11.18482946676171
12,all_common_cases,persistence_10utc,PALANGKARAYA2,212,15.618867924528303,15.618867924528303,13.261909549956878
12,all_common_cases,persistence_10utc,PALEMBANG3,223,18.703587443946187,18.703587443946187,14.332513417889553
12,all_common_cases,persistence_10utc,PALEMBANG4,237,13.99113924050633,13.99113924050633,9.647842672117939
12,all_common_cases,persistence_10utc,PALU,73,4.5328767123287665,4.5328767123287665,3.8255037533335057
12,all_common_cases,persistence_10utc,PANGKALANBUN2,214,7.62570093457944,7.62570093457944,6.595882689465559
12,all_common_cases,persistence_10utc,PEKANBARU2,228,31.24078947368421,31.24078947368421,24.22104400123099
12,all_common_cases,persistence_10utc,PESAWARAN,216,19.91018518518518,19.91018518518518,19.657747764137405
12,all_common_cases,persistence_10utc,PONTIANAK2,195,7.78923076923077,7.78923076923077,8.905446704792976
12,all_common_cases,persistence_10utc,SAMARINDA2,215,4.909767441860465,4.909767441860465,5.01395054798367
12,all_common_cases,persistence_10utc,SEMARANG,231,8.678787878787876,8.678787878787876,8.099828127411397
12,all_common_cases,persistence_10utc,SINTANG,162,5.119135802469136,5.119135802469136,6.242421462885961
