n,mae_ug_m3,rmse_ug_m3,bias_ug_m3,correlation,r2,split,forecast_hour,model,station_code,skill_vs_persistence_pct
241,21.747302904564314,56.41855106757276,19.725726141078837,0.16453369234936469,-57.151253229649285,test,3,persistence,BANJARBARU2,0.0
228,5.75,9.383598980378553,0.9929824561403513,0.4834871997619512,-0.5523938104096078,test,3,persistence,BATAM2,0.0
226,19.628761061946904,28.771134594254498,16.148230088495577,0.5657366597253359,-2.644814941350699,test,3,persistence,BENGKULU,0.0
223,3.2838565022421524,4.579389388869207,-1.2883408071748879,0.716256610705594,0.45262098529803274,test,3,persistence,INDRAPURI2,0.0
236,12.625423728813557,18.504921470897077,3.0762711864406778,0.5274386863160337,0.049535834853851934,test,3,persistence,JAMBI3,0.0
224,10.346428571428572,15.889338294232752,4.604464285714286,0.62519529828487,0.14985896813180766,test,3,persistence,JAMBI4,0.0
239,13.910460251046024,19.039500890051173,8.689539748953976,0.7149397927676088,0.01686745766530151,test,3,persistence,KEMAYORAN3,0.0
211,5.921327014218009,8.1613352685041,5.003791469194312,0.6443785634026721,-2.227899150202056,test,3,persistence,KOTABARU,0.0
207,4.116425120772948,6.726194378789245,-1.5531400966183573,0.6416578191374095,0.3688610168858485,test,3,persistence,KOTOTABANG2,0.0
228,8.734649122807017,11.75968246080426,2.5425438596491223,0.6864719015738591,0.37536111562773256,test,3,persistence,MALANG,0.0
238,8.389915966386555,11.882032194689184,5.894117647058822,0.48381837288287743,-4.612304474880205,test,3,persistence,MAROS,0.0
234,16.317948717948717,22.053237838133864,6.717094017094018,0.3380559514013048,-0.8797743222150585,test,3,persistence,MEDAN2,0.0
237,19.286919831223628,24.70042791614158,16.304641350210968,0.5425851273262203,-0.9697332277696702,test,3,persistence,MLATI,0.0
210,19.681904761904757,59.582323201560705,-10.00952380952381,0.687978406986946,0.37330288571708603,test,3,persistence,PALANGKARAYA2,0.0
229,15.500873362445414,21.851150879526354,10.616157205240174,0.5450196292929863,-1.1621493652382529,test,3,persistence,PALEMBANG3,0.0
236,16.26440677966102,23.550373346207543,14.201694915254235,0.6990401482311205,-1.9877771585845703,test,3,persistence,PALEMBANG4,0.0
76,3.572368421052631,4.412318283122711,0.9592105263157894,0.8215312045417535,0.5564364824598704,test,3,persistence,PALU,0.0
224,10.352678571428571,22.684239730325043,8.734821428571427,0.6805158345407848,-8.722714745141928,test,3,persistence,PANGKALANBUN2,0.0
231,12.838095238095235,21.575944597662122,2.8865800865800866,0.6159761287067401,-0.6747645998351826,test,3,persistence,PEKANBARU2,0.0
219,12.82283105022831,17.724708652151463,6.22922374429224,0.7122795802455532,0.1092968334273341,test,3,persistence,PESAWARAN,0.0
227,27.80528634361234,63.311832272702965,8.613215859030836,0.5617971891152996,0.2177061944693507,test,3,persistence,PONTIANAK2,0.0
221,4.4963800904977385,6.901711375412787,-0.516289592760181,0.5181773772952026,0.04497172591661103,test,3,persistence,SAMARINDA2,0.0
236,11.330084745762711,15.340340912836126,8.51228813559322,0.6438175202623299,-0.28255415057117106,test,3,persistence,SEMARANG,0.0
181,15.008839779005525,42.99401088960752,2.6165745856353593,0.7940362041514877,0.4481515465995525,test,3,persistence,SINTANG,0.0
223,3.355605381165919,5.198598465833711,1.1484304932735427,0.7650025316731446,0.48834457391144614,test,3,persistence,SORONG,0.0
238,34.50294117647059,64.91871743919145,14.192857142857143,0.7872358185659455,0.5988064297486049,test,3,persistence,SUPADIO,0.0
195,3.7989743589743585,6.1959043544288805,-0.9866666666666668,0.870124433049617,0.7505915765874428,test,3,persistence,TANJUNGHARAPAN2,0.0
241,4.502904564315354,7.209403437546772,-0.4211618257261414,0.28378011129430253,0.05045865330799959,test,3,climatology,BANJARBARU2,79.2944229264849
228,5.082894736842106,7.175590629153323,-1.5592105263157887,0.4072217858429022,0.09222476253991141,test,3,climatology,BATAM2,11.601830663615543
226,10.491592920353984,13.045502395207432,1.230088495575221,0.5124505611882322,0.2506527410011673,test,3,climatology,BENGKULU,46.549897432429375
223,4.647982062780269,6.359867514202342,-0.8502242152466366,0.09712742832899925,-0.05576955452167209,test,3,climatology,INDRAPURI2,-41.54035231462514
236,10.723516949152541,19.692621811570934,-7.58114406779661,0.36739193874478643,-0.07638673184667333,test,3,climatology,JAMBI3,15.064102564102555
224,8.315178571428572,15.795333001961595,-3.483928571428571,0.5359653408593326,0.15988850466732563,test,3,climatology,JAMBI4,19.632378322402488
239,13.264853556485352,17.058455369159013,7.161924686192468,0.6936324644490552,0.210812205140689,test,3,climatology,KEMAYORAN3,4.641159838777609
211,3.6677725118483417,4.417658984176341,1.1251184834123225,0.3927078227977687,0.05423792391795146,test,3,climatology,KOTABARU,38.058267968624925
207,5.519323671497585,8.83162001431757,-3.239130434782609,0.2526443885948296,-0.08809528477589379,test,3,climatology,KOTOTABANG2,-34.080506982748474
228,9.428508771929828,12.124191056393403,1.3171052631578952,0.5914668295318184,0.3360377788486215,test,3,climatology,MALANG,-7.943760984182813
238,3.977100840336134,5.016672831919679,0.9313025210084034,0.27715713505658507,-0.0004406561155199107,test,3,climatology,MAROS,52.596654647435905
234,13.704700854700855,16.974903546923336,2.1901709401709417,-0.05925699830833059,-0.11371897970337974,test,3,climatology,MEDAN2,16.014561072700605
237,11.68185654008439,16.761869023607034,-6.019409282700422,0.461101265822105,0.09292469724495678,test,3,climatology,MLATI,39.43119667468824
210,24.65714285714286,77.60125934790591,-20.683333333333337,0.31137675311400437,-0.06306634048459814,test,3,climatology,PALANGKARAYA2,-25.278234781767182
229,9.605676855895195,14.224601206219544,-1.2772925764192151,0.32133115284523023,0.08374309597717966,test,3,climatology,PALEMBANG3,38.03138293376905
236,7.193644067796609,11.777440910774278,-2.623305084745762,0.5928792244993742,0.2527696934652386,test,3,climatology,PALEMBANG4,55.77063359733223
76,5.9789473684210535,7.826086606915834,-4.715789473684211,0.6305912272273925,-0.3954409153196772,test,3,climatology,PALU,-67.36648250460411
224,4.839062499999999,8.049710925377559,-2.9600446428571425,-0.21049324207285314,-0.22433328578036593,test,3,climatology,PANGKALANBUN2,53.257869771453215
231,10.772510822510823,16.27271007157668,-4.425757575757576,0.37629112810636917,0.04734882070078672,test,3,climatology,PEKANBARU2,16.089492851362262
219,10.781278538812783,15.393386470558175,-1.6401826484018263,0.5935755810361494,0.32819515462661575,test,3,climatology,PESAWARAN,15.921230681575393
227,25.99361233480176,73.34424182149573,-23.052202643171807,0.47978736850686804,-0.04986189612839631,test,3,climatology,PONTIANAK2,6.515574004246039
221,4.550904977375565,6.582338737707028,-0.013348416289592645,0.43828063169010645,0.13131344780600684,test,3,climatology,SAMARINDA2,-1.2126396296668673
236,8.900847457627115,11.359074808648572,1.5440677966101704,0.5599928942930948,0.2967793624292595,test,3,climatology,SEMARANG,21.44059239313365
181,20.439226519337016,59.749385211474525,-17.952486187845302,0.5982023461732681,-0.06578790525299572,test,3,climatology,SINTANG,-36.18125598174187
223,4.319282511210763,7.297752894516026,-2.474887892376682,0.5072406082877453,-0.008285085777705925,test,3,climatology,SORONG,-28.718428437792355
238,36.634453781512605,106.42829104356503,-34.13025210084034,0.5547086666268215,-0.07827187892539333,test,3,climatology,SUPADIO,-6.177770741746524
195,6.572051282051282,12.423284073846464,-3.0438461538461548,0.3365081669223693,-0.002708136729739463,test,3,climatology,TANJUNGHARAPAN2,-72.99541036717065
241,5.545736468894663,7.96576753016037,-4.782647763997592,0.5096301839721709,-0.15923231131117244,test,3,raw_cams,BANJARBARU2,74.4991988513172
228,7.824245054591927,10.125477006291776,-6.902284826688452,0.337804236088529,-0.8075653486336345,test,3,raw_cams,BATAM2,-36.07382703638133
226,8.690365094290563,12.199123318509216,-6.469277753820908,0.7586023213515883,0.3447323188624334,test,3,raw_cams,BENGKULU,55.726369754747026
223,4.937544046305647,7.019092398082532,-3.046890052216309,0.2748330043322158,-0.2859820758742626,test,3,raw_cams,INDRAPURI2,-50.35809399510573
236,13.788993736940649,20.81235650018258,-12.344196473936593,0.4703069988490543,-0.20227486440541798,test,3,raw_cams,JAMBI3,-9.216086787420918
