forecast_hour,feature,train_n,test_n,train_missing_pct,test_missing_pct,train_mean,test_mean,standardized_mean_difference,population_stability_index
3,pm25_lag_0h,18576,6084,5.88235294117647,7.270233196159122,25.471963824289404,27.38372781065089,0.06319219888765197,0.013897669689539266
3,pm25_lag_1h,18623,6079,5.644221512894563,7.346441091297058,22.953745368630187,24.835186708340185,0.06461002265445003,0.01945284024737589
3,pm25_lag_2h,18636,6105,5.578355373157015,6.95016003657979,21.794210130929386,23.915020475020476,0.07566347610102157,0.0208018216673288
3,pm25_lag_3h,18636,6088,5.578355373157015,7.209266880048773,22.065732989912,23.729862023653087,0.05375813762564717,0.01589039970713126
3,pm25_lag_6h,18647,6072,5.522622485686781,7.453132144490169,23.640944924116482,25.467276021080366,0.06972699736039262,0.01276893613034543
3,pm25_lag_12h,18735,6106,5.0767593859249125,6.934918457552203,27.64323992527355,27.880461840812313,0.00932299584199953,0.009539133934116446
3,pm25_lag_24h,18577,6079,5.877286315042813,7.346441091297058,25.47106098939549,27.05614410264846,0.05239628057324999,0.013293670890297284
3,pm25_lag_48h,18579,6076,5.867153062775498,7.392165828379821,25.467603207922924,26.83207702435813,0.04510733454374028,0.01294652748726068
3,pm25_lag_72h,18580,6074,5.862086436641841,7.422648986434995,25.468040904198062,26.416792887718138,0.031367270136389964,0.01224195134946487
3,pm25_lag_168h,18588,6062,5.82155342757258,7.605547934766042,25.472950290510003,25.25801715605411,-0.00710706523623165,0.011614472517940858
3,rh_lag_0h,19118,6312,3.136241576734053,3.7951531778692273,91.4641829689298,93.04388466413181,0.17670783964017034,0.07554704221689731
3,temperature_lag_0h,18966,6312,3.906368749050008,3.7951531778692273,24.550216176315512,23.97957858048162,-0.2699446374391234,0.13354216789482262
3,rh_lag_1h,19110,6315,3.176774585803314,3.7494284407864655,92.45978911564626,93.66080760095012,0.13963433881454038,0.05298925580124914
3,temperature_lag_1h,18959,6315,3.941835131985611,3.7494284407864655,24.052012236932327,23.571338083927156,-0.232060482125017,0.12575592052760715
3,rh_lag_3h,19104,6316,3.207174342605259,3.734186861758878,92.13410542294807,93.27184927169094,0.13242228840079606,0.050127987396532306
3,temperature_lag_3h,18954,6316,3.9671682626538987,3.734186861758878,24.23191938377124,23.833834705509815,-0.1927314313540599,0.10659595084885992
3,rh_lag_6h,19098,6301,3.2375740994072046,3.962810547172687,90.90841030474395,92.20266624345342,0.1459092554042363,0.054532519514422874
3,temperature_lag_6h,18948,6301,3.9975680194558447,3.962810547172687,24.820345155161498,24.45603872401206,-0.17374637240457302,0.08757505702797755
3,rh_lag_12h,19082,6256,3.3186401175457263,4.648681603414113,83.68187244523635,84.70588235294117,0.09702168481429402,0.013329371186004552
3,temperature_lag_12h,18928,6256,4.098900542128996,4.648681603414113,26.966763524936603,26.821355498721232,-0.06002636791487819,0.023885644157470916
3,rh_lag_24h,19120,6310,3.126108324466738,3.825636335924402,91.46089173640168,93.05530903328051,0.17833434501610487,0.07663507796360805
3,temperature_lag_24h,18968,6310,3.8962354967826927,3.825636335924402,24.548882328131587,23.97933438985737,-0.26930072799614324,0.13313425403378848
3,pm25_mean_3h,18797,6212,4.762628565638142,5.319311080627953,23.262253728431833,25.029724726336116,0.06382880615229221,0.01948948492672094
3,pm25_std_3h,18797,6212,4.762628565638142,5.319311080627953,4.380251888348664,5.102026690470065,0.08966806406787577,0.014061187695858027
3,pm25_max_3h,18797,6212,4.762628565638142,5.319311080627953,28.64006490397404,31.313763683193816,0.07577351892207952,0.019192653986063204
3,pm25_available_fraction_3h,19737,6561,0.0,0.0,0.9429835672425733,0.9281105522532135,-0.06723981624466999,0.0
3,pm25_mean_6h,18884,6251,4.321832092009931,4.7248894985520495,22.721574701687494,24.24514397696368,0.05696670230427975,0.022703945167246685
3,pm25_std_6h,18884,6251,4.321832092009931,4.7248894985520495,5.9439887763389985,6.932009150077148,0.09364375990352372,0.021517989764451018
3,pm25_max_6h,18884,6251,4.321832092009931,4.7248894985520495,32.5080968015251,35.555143177091665,0.07193569418880222,0.022455921791103145
3,pm25_available_fraction_6h,19737,6561,0.0,0.0,0.9435408961172755,0.9278565259360869,-0.07297899713702609,0.0
3,pm25_mean_12h,19009,6287,3.688503825302731,4.176192653558909,24.002606398677866,25.309699741742456,0.05606315783035075,0.012684511098148856
3,pm25_std_12h,19009,6287,3.688503825302731,4.176192653558909,8.403446896550625,9.715790517495952,0.10933123448930011,0.020026517322351837
3,pm25_max_12h,19009,6287,3.688503825302731,4.176192653558909,41.56057656899363,45.53497693653571,0.08388466737697545,0.01608075426540066
3,pm25_available_fraction_12h,19737,6561,0.0,0.0,0.9458208778774215,0.9295458009449779,-0.07920749097415027,0.0
3,pm25_mean_24h,19188,6328,2.7815777473780208,3.5512879134278306,22.07312774798408,23.023139028327773,0.05063870756397797,0.01095254140151131
3,pm25_std_24h,19188,6328,2.7815777473780208,3.5512879134278306,9.744668359417183,11.373823502073744,0.13575024854646142,0.019628889583486575
3,pm25_max_24h,19188,6328,2.7815777473780208,3.5512879134278306,47.864962476547845,53.179914664981034,0.10125020727337841,0.015616923654754741
3,pm25_available_fraction_24h,19737,6561,0.0,0.0,0.9430004559963521,0.922426713407509,-0.10696737461484838,0.018897504968560207
3,pm25_mean_72h,19293,6357,2.2495820033439733,3.1092821216278006,22.061727719816087,22.748787941372267,0.03906884005143697,0.014525952761554
3,pm25_std_72h,19293,6357,2.2495820033439733,3.1092821216278006,11.210039572273958,12.806321121413724,0.13224874250554605,0.022304417150606635
3,pm25_max_72h,19293,6357,2.2495820033439733,3.1092821216278006,64.2212356813352,70.96831838917728,0.09824871532592325,0.01939213341286134
3,pm25_available_fraction_72h,19737,6561,0.0,0.0,0.9430919367459875,0.9219123101153278,-0.12105693549507968,0.10013337870976141
3,pm25_mean_168h,19371,6377,1.8543851649186804,2.8044505410760556,22.0739154558579,22.26739137012377,0.01150261435540769,0.026715081169692532
3,pm25_std_168h,19371,6377,1.8543851649186804,2.8044505410760556,12.22339273794068,13.663219943011438,0.11891393593322828,0.026972574350846136
3,pm25_max_168h,19371,6377,1.8543851649186804,2.8044505410760556,81.80757317639771,89.3136427787361,0.08750966532334968,0.022346128422523353
3,pm25_available_fraction_168h,19737,6561,0.0,0.0,0.9432673586230357,0.9209769489261944,-0.13817735258255218,0.11751483234034968
3,latitude,19737,6561,0.0,0.0,-1.9834928,-1.9834928000000003,-6.858650769974103e-17,0.0
3,longitude,19737,6561,0.0,0.0,109.51183786333331,109.51183786333334,3.688584346325399e-15,0.0
3,utc_offset_hours,19737,6561,0.0,0.0,7.296296296296297,7.296296296296297,0.0,0.0
3,issue_hour_local_sin,19737,6561,0.0,0.0,0.934139841839798,0.934139841839798,0.0,0.0
3,issue_hour_local_cos,19737,6561,0.0,0.0,-0.32901806234210956,-0.3290180623421097,-8.934201775237021e-16,0.0
3,issue_day_of_year_sin,19737,6561,0.0,0.0,1.323664920059521e-05,0.3588310258889102,0.507605648961493,1.3592657050116201
3,issue_day_of_year_cos,19737,6561,0.0,0.0,0.0006838869993717085,-0.20923391155375404,-0.2967598058415947,0.10599710533205735
3,target_hour_local_sin,19737,6561,0.0,0.0,0.427885713726486,0.42788571372648615,1.277782244294495e-15,0.0
3,target_hour_local_cos,19737,6561,0.0,0.0,-0.8931875197564141,-0.8931875197564142,-2.3972068560839954e-15,0.0
3,target_day_of_year_sin,19737,6561,0.0,0.0,1.323664920059521e-05,0.3588310258889102,0.507605648961493,1.3592657050116201
